held_out_generator,seed,best_epoch,best_stage,best_val_auc,threshold_val,acc_05,precision_05,recall_05,specificity_05,f1_05,auc_05,eer_05,acc_cal,precision_cal,recall_cal,specificity_cal,f1_cal,auc_cal,eer_cal,tp_cal,tn_cal,fp_cal,fn_cal
rvc,42,1,head,1.0,0.89501953125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
rvc,123,1,head,1.0,0.55029296875,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
rvc,2026,1,head,1.0,0.8916015625,0.975,0.9428571428571428,1.0,0.9574468085106383,0.9705882352941176,1.0,0.0,0.9875,0.9705882352941176,1.0,0.9787234042553191,0.9850746268656716,1.0,0.0,33,46,1,0
confucius4,42,2,head,0.999045619393014,0.97509765625,0.975,0.9428571428571428,1.0,0.9574468085106383,0.9705882352941176,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
confucius4,123,3,finetune,0.9988547432716167,0.79345703125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
confucius4,2026,1,head,0.9992364955144112,0.9873046875,0.9375,0.868421052631579,1.0,0.8936170212765957,0.9295774647887324,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
cosyvoice,42,4,finetune,0.9988547432716167,0.939453125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
cosyvoice,123,5,finetune,0.9986638671502195,0.962890625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
cosyvoice,2026,2,head,0.999045619393014,0.74169921875,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
knnvc,42,2,head,0.9994273716358084,0.34765625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
knnvc,123,6,finetune,0.9992364955144112,0.98681640625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
knnvc,2026,2,head,0.9994273716358084,0.5244140625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
openvoice,42,7,finetune,0.9992364955144112,0.74267578125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
openvoice,123,5,finetune,0.9986638671502195,0.939453125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
openvoice,2026,2,head,0.999045619393014,0.51806640625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
qwen,42,4,finetune,0.9996182477572055,0.84423828125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
qwen,123,3,finetune,0.999045619393014,0.99609375,0.975,0.9428571428571428,1.0,0.9574468085106383,0.9705882352941176,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
qwen,2026,3,finetune,0.9992364955144112,0.974609375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
voxcpm2,42,5,finetune,0.9994273716358084,0.9208984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
voxcpm2,123,3,finetune,0.9988547432716167,0.94873046875,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
voxcpm2,2026,1,head,0.9994273716358084,0.97607421875,0.9625,0.9166666666666666,1.0,0.9361702127659575,0.9565217391304348,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33,47,0,0
