held_out_speaker,seed,best_epoch,best_stage,best_val_auc,best_val_f1,threshold_val,n_train,n_val,n_test,n_test_real,n_test_fake,acc_05,precision_05,recall_05,specificity_05,f1_05,auc_05,eer_05,acc_cal,precision_cal,recall_cal,specificity_cal,f1_cal,auc_cal,eer_cal,tp_cal,tn_cal,fp_cal,fn_cal
gonzalo,42,2,head,0.9988201982067012,0.9969230769230769,0.900390625,947,189,59,9,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,9,0,0
gonzalo,123,3,finetune,0.9988201982067012,0.9938271604938271,0.303955078125,947,189,59,9,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,9,0,0
gonzalo,2026,7,finetune,0.999056158565361,0.9938650306748467,0.99609375,947,189,59,9,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,9,0,0
mario,42,1,head,1.0,1.0,0.8798828125,959,192,36,3,33,0.9166666666666666,0.9166666666666666,1.0,0.0,0.9565217391304348,1.0,0.0,0.9444444444444444,0.9428571428571428,1.0,0.3333333333333333,0.9705882352941176,1.0,0.0,33,1,2,0
mario,123,1,head,1.0,1.0,0.89697265625,959,192,36,3,33,0.9166666666666666,0.9166666666666666,1.0,0.0,0.9565217391304348,1.0,0.0,0.9722222222222222,0.9705882352941176,1.0,0.6666666666666666,0.9850746268656716,1.0,0.0,33,2,1,0
mario,2026,1,head,1.0,1.0,0.93115234375,959,192,36,3,33,0.9166666666666666,0.9166666666666666,1.0,0.0,0.9565217391304348,1.0,0.0,0.9722222222222222,0.9705882352941176,1.0,0.6666666666666666,0.9850746268656716,1.0,0.0,33,2,1,0
marta,42,3,finetune,0.9995393827729157,0.9940119760479041,0.982421875,922,193,38,9,29,0.9736842105263158,0.9666666666666667,1.0,0.8888888888888888,0.983050847457627,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,29,9,0,0
marta,123,4,finetune,0.9990787655458314,0.996996996996997,0.67626953125,922,193,38,9,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,29,9,0,0
marta,2026,3,finetune,0.9995393827729157,0.996996996996997,0.82080078125,922,193,38,9,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,29,9,0,0
noelia,42,3,finetune,0.9993291592128801,0.9970845481049563,0.8076171875,932,198,53,9,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,44,9,0,0
noelia,123,3,finetune,0.9986583184257602,0.9941520467836257,0.4853515625,932,198,53,9,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,44,9,0,0
noelia,2026,8,finetune,0.9993291592128801,0.9941860465116279,1.0,932,198,53,9,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,44,9,0,0
rober,42,4,finetune,0.9993131868131868,0.9970149253731343,0.984375,935,194,52,9,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43,9,0,0
rober,123,4,finetune,0.997481684981685,0.9970149253731343,0.98828125,935,194,52,9,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9807692307692307,1.0,0.9767441860465116,1.0,0.988235294117647,1.0,0.0,42,9,0,1
rober,2026,2,head,0.9983974358974359,0.9970149253731343,0.60791015625,935,194,52,9,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43,9,0,0
samu,42,3,finetune,0.9992441421012849,0.9965870307167235,0.6220703125,950,174,40,8,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,32,8,0,0
samu,123,1,head,0.9989921894683799,0.9931972789115646,0.82421875,950,174,40,8,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.975,1.0,0.96875,1.0,0.9841269841269841,1.0,0.0,31,8,0,1
samu,2026,1,head,0.9989921894683799,0.9864864864864865,0.9599609375,950,174,40,8,32,0.975,0.9696969696969697,1.0,0.875,0.9846153846153847,1.0,0.0,0.975,1.0,0.96875,1.0,0.9841269841269841,1.0,0.0,31,8,0,1
