mode,seed,threshold,same_as_initial_wavlm,checkpoint_sha256,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,fnr,tp,tn,fp,fn,roc_auc,eer,eer_threshold
control,42,0.8860265612602234,False,39664be7eb5abd8e2d2bb43724e3fa177a85ed28362103bf7571a1d9ade57b9e,0.6545454545454545,0.635,0.6375,0.85,0.42,0.7285714285714286,0.58,0.15,102,42,58,18,0.7477916666666666,0.3,0.9888418912887573
control,123,0.6761924028396606,False,bc4b825f72983c9145c1339a88186386ba1c333e2aee766fe1a86f10e7df3508,0.6363636363636364,0.6116666666666667,0.6162790697674418,0.8833333333333333,0.34,0.7260273972602739,0.66,0.11666666666666667,106,34,66,14,0.7143333333333334,0.31833333333333336,0.9641867876052856
control,2026,0.9622496962547302,False,200af4e08c7c74a9bc2e7397b85767b61c6949c88825f51886c322b5bd18e131,0.7181818181818181,0.7091666666666667,0.7132352941176471,0.8083333333333333,0.61,0.7578125,0.39,0.19166666666666668,97,61,39,23,0.7605416666666667,0.3,0.9859904050827026
robust,42,0.9193534255027771,False,7f508e0be7501550836eeefaa33319f95438c1ff22ce292787f27f5398c5c9b1,0.6545454545454545,0.6391666666666667,0.6466666666666666,0.8083333333333333,0.47,0.7185185185185184,0.53,0.19166666666666668,97,47,53,23,0.7058333333333333,0.33166666666666667,0.9812029004096985
robust,123,0.32949957251548767,False,385861fa7b0775f3e0831768b3ab77302589b150556d624508aa10f074b7da2e,0.6272727272727273,0.6008333333333333,0.6079545454545454,0.8916666666666667,0.31,0.722972972972973,0.69,0.10833333333333334,107,31,69,13,0.6657916666666667,0.35,0.7709825038909912
robust,2026,0.6822562217712402,False,b5d664c359cf85db9a9b6797d9244349aa209268222c0597c52714906582e3f7,0.6181818181818182,0.5908333333333333,0.601123595505618,0.8916666666666667,0.29,0.7181208053691276,0.71,0.10833333333333334,107,29,71,13,0.6550416666666666,0.3816666666666667,0.8603691458702087
gate_only,42,0.9914224743843079,False,4e391a6906fc0cfacfe9cd6f2ba2f13ecd7b1eba6348c0c8269eafea757ec8da,0.6909090909090909,0.6816666666666666,0.6911764705882353,0.7833333333333333,0.58,0.7343749999999999,0.42,0.21666666666666667,94,58,42,26,0.743375,0.3,0.9959298968315125
gate_only,123,0.42363685369491577,False,a9d8d26ab6991061190ce5d355cff5ae10b5e299536dc9f5e85350b27eef8539,0.6363636363636364,0.6125,0.6176470588235294,0.875,0.35,0.7241379310344829,0.65,0.125,105,35,65,15,0.6827916666666667,0.3275,0.8139049410820007
gate_only,2026,0.9326989054679871,False,b2046478fecd51924c77c29ab989621a6dbb497b2d9b43798fb4535ef7a13bf5,0.6545454545454545,0.6366666666666667,0.6410256410256411,0.8333333333333334,0.44,0.7246376811594204,0.56,0.16666666666666666,100,44,56,20,0.7330416666666667,0.29583333333333334,0.9867772459983826
channel_mix,42,0.9815951585769653,False,50295cb809074e174977207c69538c4e9a0b574017fe47eafe2c7ea18de5ade9,0.6636363636363637,0.6475,0.6513157894736842,0.825,0.47,0.7279411764705881,0.53,0.175,99,47,53,21,0.6764583333333334,0.3683333333333333,0.9965165853500366
channel_mix,123,0.9613164663314819,False,97372f014b8c233d27f99dfbdd9ff351fcc95a181e22dd65a445af3b803a6b8f,0.65,0.6283333333333334,0.6303030303030303,0.8666666666666667,0.39,0.7298245614035087,0.61,0.13333333333333333,104,39,61,16,0.6919583333333333,0.35,0.995685338973999
channel_mix,2026,0.86200350522995,False,c5815baebff421ecd20baf9b26dee88fe48c39e3cd65b276ec79ec62874d2876,0.65,0.6275,0.6287425149700598,0.875,0.38,0.7317073170731706,0.62,0.125,105,38,62,15,0.6907083333333334,0.3408333333333333,0.9815244078636169
